id,name,code,credits,course_type,hours_per_week,department,semester,faculty_id,requires_lab,requires_smart_room,is_interdisciplinary,connected_departments,max_students,min_duration_minutes,max_consecutive_hours,preferred_days
B23AM3101,Deep Learning,B23AM3101,3,core,3,AIML,5,1,False,False,False,[],60,50,2,[]
B23AM3102,Computer Networks,B23AM3102,3,core,3,AIML,5,3,False,False,False,[],60,50,2,[]
B23AM3103,Natural Language Processing,B23AM3103,3,core,3,AIML,5,2,False,False,False,[],60,50,2,[]
#PE-I,Professional Elective-I,#PE-I,3,elective,3,GENERAL,5,5,False,False,True,[],60,50,2,[]
#OE-I,Open Elective-I,#OE-I,3,elective,3,GENERAL,5,6,False,False,True,[],60,50,2,[]
B23AM3110,Deep Learning Lab,B23AM3110,0,core,3,AIML,5,1,True,False,False,[],60,50,2,[]
B23AM3111,Natural Language Processing Lab,B23AM3111,0,skill_enhancement,3,AIML,5,2,True,False,False,[],60,50,2,[]
B23AM3112,Full Stack Development -2,B23AM3112,0,core,3,AIML,5,4,False,False,False,[],60,50,2,[]
B23AM3113,Tinkering Lab (UI Design using Flutter),B23AM3113,0,skill_enhancement,3,AIML,5,4,True,False,False,[],60,50,2,[]
B23AM3114,Evaluation of Community Service Internship,B23AM3114,1,project,3,AIML,5,8,False,False,False,[],60,50,2,[]
B23MC3101,Employability Skills,B23MC3101,0,core,3,GENERAL,5,8,False,False,True,[],60,50,2,[]
B23AM31H1,Advanced Algorithms,B23AM31H1,4,honors,4,AIML,5,5,False,False,False,[],60,50,2,[]
B23AM31H2,Reinforcement Learning,B23AM31H2,4,honors,4,AIML,5,7,False,False,False,[],60,50,2,[]
B23AM31H3,Computer Vision,B23AM31H3,4,honors,4,AIML,5,9,False,False,False,[],60,50,2,[]
B23MG31M1,Introduction to Financial Analysis,B23MG31M1,3,minor,3,Management,5,6,False,False,False,[],60,50,2,[]
B23EC31M2,Introduction to IoT,B23EC31M2,3,minor,3,ECE,5,3,False,False,False,[],60,50,2,[]
B23DS31M3,Data Analytics and Visualization,B23DS31M3,3,minor,3,Data Science,5,7,False,False,False,[],60,50,2,[]
B23ID31M4,UI/UX Fundamentals,B23ID31M4,3,minor,3,Design,5,4,False,False,False,[],60,50,2,[]